builder-name;codename;cpu;cpu-link;cores;threads;freq;ram;ram-type;ram-link;channels;channels used;modules;freq;swap;raid;drives;drives-link;filesystem;OS;Kernel;System;System Link;other
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;32G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Ubuntu 21.04;5.11.5;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;32G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Ubuntu 21.10;5.13.1;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-dunfell-2022-07;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.19.0;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-honister-2021-09;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;32G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.16.13;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-honister-2022-03;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;32G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.16.13;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-kirkstone-2022-03;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;32G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.16.13;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-kirkstone-2022-07;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.18.15;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;32G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.17.7;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05-rcraid-raid0;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;2x https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.15.40;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05-mdadm-raid0;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;2x https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.17.7;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05-lvm-raid0;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;2x https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.17.7;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05-ipk;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.17.8;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05-ld-is-gold;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.17.8;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05-unpack-threads;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.17.8;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05-unpack-threads-invalid;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.17.8;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-05-zstd-threads;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.17.8;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-07;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.18.15;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-langdale-2022-07-with-dash-l;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.19.0;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-64gb-zeus;3970x-wendell;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;64;DDR4 UDIMM;?;4;?;?;?;optane;?;?;?;?;Ubuntu 19.10;5.3.0-29;Gigabyte TRX40 DESIGNARE;https://www.gigabyte.com/Motherboard/TRX40-DESIGNARE-rev-10#kf;---
threadripper-3990x-128gb-zeus;3990x-wendell;AMD TR 3990X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3990x;64;128;2.9-4.3;128;DDR4 UDIMM;https://www.amazon.com/dp/B0836NZHWR/ref=cm_sw_em_r_mt_dp_U_eNemEb2NATMVM?tag=level1techs-20&pldnSite=1;4;4;4x32G;?;?;?;?;?;?;Ubuntu 19.10;5.6.8;ASUS ROG ZENITH II EXTREME ALPHA;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme-Alpha/;---
threadripper-3990X-256gb-zeus;3990x-wendell;AMD TR 3990X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3990x;64;128;2.9-4.3;256;DDR4 UDIMM;https://www.gskill.com/specification/165/326/1582267558/F4-3600C18Q2-256GTZN-Specification;4;4;8x32G;3600;?;?;?;?;?;Ubuntu 19.10;5.6.8;ASUS ROG ZENITH II EXTREME ALPHA;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme-Alpha/;---
VM-20t-157G-zeus;bonaire;E5-2680;https://ark.intel.com/content/www/us/en/ark/products/64583/intel-xeon-processor-e5-2680-20m-cache-2-70-ghz-8-00-gt-s-intel-qpi.html;10;20;2.7;157;?;?;?;?;?;?;1G;?;?;?;tmpfs;Ubuntu 20.04;5.4.0-52-generic;?;?;?
VM-20t-98G-zeus;bonaire;E5-2680;https://ark.intel.com/content/www/us/en/ark/products/64583/intel-xeon-processor-e5-2680-20m-cache-2-70-ghz-8-00-gt-s-intel-qpi.html;10;20;2.7;98;?;?;?;?;?;?;1G;?;?;?;tmpfs;Ubuntu 18.04;4.15.0-72;?;?;?
vSphere-VM-28t-55G-zeus;vmbuild-01;E5-2640 v4;https://ark.intel.com/content/www/us/en/ark/products/92984/intel-xeon-processor-e5-2640-v4-25m-cache-2-40-ghz.html;14;28;2.4;55;?;?;?;?;?;?;30G;?;?;?;ext4 nobarrier commit=6000;Ubuntu 18.04;4.15.0-47;?;?;?
xeon-e3-1275-v5-dunfell;envia;Xeon E3-1275v5;https://ark.intel.com/content/www/us/en/ark/products/88177/intel-xeon-processor-e31275-v5-8m-cache-3-60-ghz.html;4;8;3.6-4.0;64;DDR4-EUDIMM;https://www.newegg.com/p/2BA-0041-00004;2;2;4x16G;?;16G;?;4TB HGST HDN724040ALE640;https://drivesolutions.com/hitachi-deskstar-nas-4tb-7200rpm-sata-6gb-s-64mb-cache-3-5-enterprise-class-hard-drive-hdn724040ale640.html;xfs with defaults;Debian 10;?;Intel S1200SP;https://ark.intel.com/content/www/us/en/ark/products/series/89096/intel-server-board-s1200sp-family.html;Tower
